area_id,employed
101011001,8603.000000000002
101011002,5069.000000000024
101011003,1953.9999999999995
101011004,2670.999999999999
101011005,4082.9999999999964
101011006,2975.0000000000014
101021007,1274
101021008,1868.9999999999995
101021009,1959.9999999999995
101021010,1018
101021011,3103.999999999999
101021012,2166
101031013,1053
101031014,2754.999999999998
101031015,1354.0000000000002
101031016,3331
101041017,2497.0000000000005
101041018,2617.0000000000005
101041019,3390
101041020,3676.9999999999995
101041021,997.9999999999999
101041022,31
101041023,1222.9999999999998
101041024,1288
101041025,3779
101041026,2695
101041027,2742
102011028,3393
102011029,4449
102011030,2146.000000000002
102011031,5529
102011032,8164
102011033,3118.0000000000005
102011034,2890.0000000000005
102011035,3187
102011036,3910.0000000000014
102011037,2643.000000000001
102011038,2968.000000000001
102011039,6070.000000000002
102011040,8467
102011041,4475.00000000001
102011042,4946
102011043,4566
102021044,8844
102021045,4207
102021046,3334.999999999999
102021047,7041
102021048,7713.000000000001
102021049,1460.9999999999998
102021050,3646
102021051,2398.0000000000005
102021052,2037.9999999999993
102021053,5061
102021054,3081.9999999999995
102021055,2223
102021056,5155
102021057,3058
103011058,10293
103011059,4285
103011060,3166.0000000000005
103011061,1993.9999999999998
103021062,3011.0000000000014
103021063,3273
103021064,2274.000000000002
103021065,4107.000000000003
103021066,1436
103021067,4483.999999999998
103021068,1403.0000000000005
103021069,2667
103031070,4613.000000000001
103031071,3404.0000000000005
103031072,4596
103031073,1177
103031074,4077
103041076,3102
103041077,8302
103041078,8010.000000000005
103041079,5448.999999999998
104011080,6677
104011081,5533.000000000001
104011082,5077
104021083,2182
104021084,6396.999999999999
104021085,3849.9999999999995
104021086,1657.9999999999998
104021087,1203.0000000000005
104021088,3528.9999999999995
104021089,7755.000000000001
104021090,1650.9999999999998
104021091,4301
105011092,1682.0000000000002
105011093,2211.0000000000005
105011094,1739.0000000000005
105011095,2263.0000000000005
105011096,2446
105021097,6858.000000000002
105021098,1207.9999999999998
105031099,3053.9999999999995
105031100,5184
105031101,7460
105031102,3241
105031103,2618.9999999999977
105031104,1883.9999999999995
105031105,2845.000000000001
105031106,3000.0000000000005
106011107,4432.999999999991
106011108,7745.000000000001
106011109,3073.0000000000005
106011110,3704
106011111,6525
106011112,7995
106011113,2387
106021114,2057
106021115,11708.999999999998
106021116,3263
106021117,8263
106021118,4522
106031119,2266
106031120,2281
106031121,7244.000000000001
106031122,5478
106031123,2730
106031124,1297
106031125,5764.000000000005
106041126,5357
106041127,1996
106041128,2740
106041129,3757
107011130,9073
107011131,9084.999999999998
107011132,3629.0000000000005
107011133,7
107011134,6970
107021135,3
107031136,6476.000000000001
107031137,2951.0000000000005
107031138,3069
107031139,2787
107031140,3219.9999999999995
107031141,6270.000000000001
107031142,4293
107031143,7215
107041144,8382.000000000002
107041145,6302
107041146,8681
107041147,4335
107041148,5196
107041149,12158.000000000002
107041150,8402.999999999998
108011151,1889
108011152,4298
108011153,1890.9999999999995
108011154,1560
108021155,4384
108021156,3309.999999999999
108021157,1514
108021158,1789
108021159,2654
108021160,1571.9999999999998
108031161,214
108041162,5144.000000000001
108041163,10874
108041164,5106
108041165,2192.0000000000005
108041166,4035
108051167,1939
108051168,3620
108051169,6697.000000000001
108051170,4060.000000000001
108051171,1876
109011172,4960
109011173,3215.0000000000005
109011174,3803
109011175,4677.000000000005
109011176,4968
109021177,1328.0000000000002
109021178,1357.0000000000002
109021179,1466.000000000001
109031180,1876
109031181,2068.000000000001
109031182,2948.0000000000005
109031183,2622.0000000000005
109031184,924
109031185,3091.9999999999995
110011186,9413.999999999998
110011187,2037.9999999999998
110011188,2812.0000000000005
110011189,1513.9999999999995
110021190,3374.000000000001
110021191,4383
110021192,1885.9999999999998
110021193,2258
110021194,2163
110031195,3401
110031196,2499
110031197,3103
110031198,2269
110041199,3587
110041200,2024.9999999999998
110041201,3071
110041202,8933.000000000002
110041203,6015
110041204,1876
110041205,7833
111011206,7600.000000000001
111011207,2217
111011208,10943.000000000002
111011209,10974.000000000013
111011210,3209
111011211,1559.9999999999998
111011212,4232
111011213,5984
111011214,5938.000000000001
111021215,3363.0000000000005
111021216,3316.0000000000005
111021217,5378
111021218,5210.000000000002
111021219,5339
111021220,3907
111021221,2943
111031222,7375.0000000000055
111031223,3272
111031224,5431
111031225,7899.000000000001
111031226,5678
111031227,6587.000000000001
111031228,7192.000000000001
111031229,5743.999999999999
111031230,9
111031231,3699
111031232,2299.999999999998
111031233,8334.99999999999
111031234,5201
111031235,3880
112011236,5989
112011237,6775
112011238,2308.0000000000005
112011239,3012.0000000000005
112011240,3864.0000000000005
112011241,1764.0000000000002
112011242,3453
112011243,2824
112021244,4165
112021245,2649
112021246,5463
112021247,2711
112021248,6192
112021249,6708
112031250,3232
112031251,2617
112031252,3472
112031253,4099
112031254,4087
112031255,6764
113011256,7853.000000000001
113011257,6258.999999999999
113011258,4146
113011259,2532.9999999999973
113021260,1391.0000000000005
113021261,2688
113021262,2102
113031263,2785.999999999999
113031264,1609
113031265,2091
113031266,2537
113031267,7810
113031268,1566
113031269,9903
113031270,5457
113031271,6871.000000000002
114011272,3346
114011273,1141
114011274,1652
114011275,9
114011276,1374.9999999999998
114011277,6383
114011278,6329.000000000001
114011279,3751
114011280,1120
114011281,1466
114011282,4871.000000000001
114011283,1668
114021284,4821.000000000001
114021285,2654
114021286,3428
114021287,3934.000000000001
114021288,1573.0000000000014
114021289,2696.9999999999995
115011290,10757
115011291,10011
115011292,14255
115011293,11765.000000000002
115011294,3011.0000000000027
115011295,12254
115011296,6666.999999999999
115021297,10343.000000000007
115021298,2618
115031299,1137.000000000001
115031300,11220.000000000002
115041301,4747.999999999993
115041302,9248
116011303,7113.000000000001
116011304,7402.999999999998
116011305,11620.999999999998
116011306,8578
116011307,11462.000000000005
116011308,10615.999999999984
116021309,7757.000000000001
116021310,11370
116021311,13552
116021312,5255
116031313,5691
116031314,3841.000000000001
116031315,9032
116031316,4829
116031317,7368
116031319,8988
117011320,3
117011321,4365.999999999999
117011322,9251.000000000004
117011323,4693.000000000001
117011324,3
117021326,12163.000000000002
117021327,10889.999999999998
117021328,3942.000000000001
117031329,6497
117031330,9749
117031331,9191
117031332,13240.000000000033
117031333,10874.999999999998
117031334,10162.000000000002
117031335,9124.999999999998
117031336,9323.000000000002
117031337,10893.999999999998
117031338,10230.000000000007
118011339,9617.999999999998
118011340,10948
118011341,7879.000000000001
118011343,11897.999999999998
118011344,5344.000000000002
118011345,8425.99999999998
118011346,5286.000000000001
118011347,3715.000000000001
118021348,12929.000000000002
118021349,11830
118021350,8910
118021351,13712.000000000002
118021352,15237.000000000002
119011353,10480
119011354,7317.000000000001
119011355,3
119011356,3698.0000000000005
119011357,7925.000000000002
119011358,7182
119011359,11637.000000000005
119011360,6520.999999999998
119011361,6719
119021362,7378.999999999993
119021363,11109.999999999998
119021364,10094
119021365,8375.000000000002
119021366,6241.999999999999
119021367,5293
119031368,8822
119031369,11258
119031370,5348.00000000001
119031371,5895.000000000013
119031372,7883.000000000001
119031373,3417.999999999994
119031374,10621
119041375,6719.000000000001
119041376,11402.000000000004
119041377,5212
119041378,4741.000000000002
119041379,7244.000000000001
119041380,5981
119041381,8769
119041382,6835.999999999998
120011383,9710.999999999998
120011384,8894
120011385,9078.999999999998
120011386,10044
120021387,8442
120021388,14008.999999999998
120021389,7346.999999999998
120031390,11137.000000000002
120031391,9682.000000000007
120031392,4695
120031393,7646
120031394,8363.000000000004
120031395,6797.000000000001
120031396,6119
120031397,12456.999999999996
121011398,11764.000000000002
121011399,9725.999999999984
121011400,12463.000000000002
121011401,5633.000000000003
121011402,11546.000000000004
121021403,9452
121021404,5932
121021405,14725.000000000004
121021406,8690
121031407,8373.000000000004
121031408,9616.999999999996
121031409,7413.000000000001
121031410,8684
121031411,7958
121031412,8093
121041413,10364
121041414,10421
121041415,13374.999999999998
121041416,10186
121041417,5568
122011418,9049.000000000002
122011419,11484
122021420,5863
122021421,4873
122021422,6643
122021423,11145.000000000002
122031424,6196
122031425,3526
122031426,12973.000000000002
122031427,5531
122031428,11540.999999999998
122031429,10752.000000000002
122031430,8010
122031431,11662.999999999998
122031432,1790.9999999999998
123011433,5971
123011434,8198
123011435,12630.000000000002
123021436,7729
123021437,6962
123021438,9555
123021440,7685.000000000007
123021441,7684
123021442,8584
123021443,7871
123021444,9155
123031445,2515
123031446,3637
123031447,7100
123031448,4321
124011449,2127
124011450,9527.000000000002
124011451,11
124011452,5192
124011453,5255
124011454,10856
124011455,2388
124031457,7785.000000000001
124031458,8661
124031459,6887
124031460,11256
124031461,8385
124031462,7829
124031463,3322.0000000000005
124031464,5110
124031465,2599
124041466,6296
124041467,7405
124041468,3073.999999999999
124051469,3631
124051470,10622
124051471,10410.000000000002
125011472,11166
125011473,5385
125011474,12454.000000000004
125011475,6
125021476,11469.000000000013
125021477,8507
125021478,7150.99999999998
125031479,5912
125031480,4459
125031481,6881.999999999999
125031482,11219
125031483,5499
125031484,7359
125031485,10230
125031486,7
125031487,6
125041488,11003.999999999998
125041489,9443.999999999995
125041490,3766.0000000000005
125041491,8787.000000000004
125041492,10994.999999999996
125041493,9518
125041494,5110.999999999999
126011495,11546.999999999987
126011496,9658
126021497,10663.999999999998
126021498,6937.9999999999945
126021499,4158
126021500,8535
126021501,5577
126021502,12901
126021503,8928
127011504,4381
127011505,4289
127011506,2827.999999999998
127011507,12862
127011508,8865
127021509,5917
127021510,8410
127021511,7521.999999999998
127021512,5433.000000000005
127021513,6600
127021514,4191
127021515,4985
127021516,5890.999999999999
127021517,3070
127021518,2011.0000000000016
127021519,6575
127021520,4334
127021521,7
127031522,6083
127031523,7628.999999999999
127031524,10177.999999999996
127031525,8991
127031526,10185
128011527,12960
128011528,16157.000000000002
128011529,8820
128011530,8502
128011531,6905.000000000002
128021532,14597
128021533,3286
128021534,6091
128021535,11702
128021536,10454
128021537,12
128021538,10014
197979799,23
199999699,3453
201011001,12
201011002,13
201011003,21
201011004,15
201011005,12
201011006,3
201011007,6
201011008,9
201021010,13
201021011,18
201021012,6
201031013,3
201031015,9
201031016,3
201031017,7
202011018,15
202011019,7
202011020,26
202011021,14
202011022,9
202011023,12.000000000000002
202011024,6
202011025,14
202021026,4
202021027,3
202021028,14
202021029,7
202021030,15
202021031,15
202031032,3
202031033,7
203011034,3
203011035,15
203011036,3
203021037,6
203021038,6
203021039,7
203021040,12
203021041,21
203021042,13
203021043,15
203021044,13
203021045,6
203021046,7
203021047,7
203031048,6
203031049,13
203031050,25
203031052,3
203031053,24
204011054,21
204011055,12
204011056,13
204011057,4
204011058,25
204011059,15
204011060,9
204021063,38
204021064,21.999999999999996
204021065,529
204021066,151
204021067,75
204031068,146
204031069,83
204031070,324
204031071,55
204031072,421
204031073,2062
204031074,2590
204031075,442
205011076,3
205011077,6
205011078,7
205011079,15
205021082,8
205021084,6
205021085,42
205021086,3
205031087,10
205031089,11
205031090,12
205031091,11
205031093,13
205041094,3
205041095,4
205041096,10
205041097,10
205041098,8
205051100,6
205051101,4
205051102,3
205051103,9
205051104,3
206011105,44.00000000000001
206011106,3
206011107,16
206011108,22
206011109,14
206021111,25
206021112,16
206031113,31
206031114,46
206031115,14
206031116,24
206041117,18
206041118,24
206041119,12
206041121,22
206041122,103
206041123,35
206041124,22
206041125,26
206041126,69
206051128,41
206051129,64
206051130,36
206051132,43
206051133,47
206051134,22
206061135,17
206061136,27
206061137,52
206061138,23
206071139,3
206071140,14
206071141,9
206071142,19
206071143,18
206071144,56
206071145,19
207011146,12
207011147,18
207011148,20
207011149,41
207011150,25
207011151,42
207011152,27
207011153,31
207011154,6
207011155,27
207021156,13
207021157,16
207021158,17
207021159,28
207021160,14
207031161,16
207031162,7
207031163,9
207031164,18
207031165,12
207031166,6
207031167,21
208011168,15
208011169,36.00000000000001
208011170,21
208011171,15
208011172,31
208011173,22
208021174,16
208021175,21
208021176,25
208021177,20
208021178,22
208021179,11
208021180,12
208021181,11
208021182,10
208031183,7
208031185,13
208031186,3
208031188,15
208031189,6
208031190,20
208031191,6
208031193,17
208041194,52
208041195,35
209011196,6
209011197,21
209011198,18
209011199,16
209011200,12
209011201,15.999999999999998
209011202,15
209011203,22
209011204,6
209021205,3
209021206,15
209021207,15
209021208,9
209031209,40
209031210,7
209031212,16
209031213,6
209031214,15
209031215,15
209041217,4
209041218,16
209041219,12
209041220,9
209041221,10
209041222,24
209041223,3
209041224,9
209041225,3
210011226,6
210011228,3
210011229,36
210011230,6
210011231,4
210021232,23
210021233,10
210021234,13
210021235,10
210031237,6
210031238,31
210031239,15
210041240,9
210041241,12
210051242,9
210051243,3
210051244,20
210051245,7
210051246,9
210051247,3
210051249,18
210051250,5
211011251,12
211011252,19
211011253,16
211011254,10
211011255,3
211011256,12
211011258,4
211011259,10
211011260,19
211021261,15
211021262,20
211031263,6.000000000000001
211031264,37
211031265,17
211031266,6
211031267,15
211031268,6
211041269,6
211041270,16
211041271,6
211041272,11
